date,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
29-07-2016 23:00:00,3.399625139,1022.142839,29.2162876,9.086694444,11.99475389,2.388133333,0.995111111,4.225614449
30-07-2016 00:00:00,3.398958555877551,1022.1502337959183,29.222193019387756,9.095227920000001,11.979083669387755,2.427340536591837,0.9957045113061225,4.218923566408163
30-07-2016 01:00:00,3.3982919727551018,1022.1576285918367,29.22809843877551,9.103761396000001,11.96341344877551,2.4665477401836733,0.9962979116122449,4.212232683816326
30-07-2016 02:00:00,3.397625389632653,1022.1650233877551,29.234003858163266,9.112294872000001,11.947743228163265,2.5057549437755102,0.9968913119183674,4.20554180122449
30-07-2016 03:00:00,3.396958806510204,1022.1724181836735,29.23990927755102,9.120828348000002,11.93207300755102,2.5449621473673467,0.9974847122244899,4.198850918632653
30-07-2016 04:00:00,3.396292223387755,1022.1798129795918,29.245814696938776,9.129361824,11.916402786938775,2.5841693509591837,0.9980781125306123,4.192160036040816
30-07-2016 05:00:00,3.395625640265306,1022.1872077755102,29.25172011632653,9.1378953,11.90073256632653,2.62337655455102,0.9986715128367347,4.185469153448979
30-07-2016 06:00:00,3.394959057142857,1022.1946025714285,29.257625535714286,9.146428776,11.885062345714285,2.662583758142857,0.9992649131428571,4.178778270857143
30-07-2016 07:00:00,3.394292474020408,1022.201997367347,29.26353095510204,9.154962252,11.86939212510204,2.7017909617346936,0.9998583134489797,4.1720873882653065
30-07-2016 08:00:00,3.393625890897959,1022.2093921632653,29.269436374489796,9.163495728000001,11.853721904489795,2.7409981653265305,1.0004517137551021,4.16539650567347
30-07-2016 09:00:00,3.3929593077755102,1022.2167869591837,29.27534179387755,9.172029204000001,11.83805168387755,2.7802053689183674,1.0010451140612247,4.158705623081633
30-07-2016 10:00:00,3.392292724653061,1022.224181755102,29.281247213265306,9.180562680000001,11.822381463265305,2.819412572510204,1.001638514367347,4.152014740489796
30-07-2016 12:00:00,3.3909595584081633,1022.2389713469388,29.293058052040816,9.197629632,11.791041022040817,2.8978269796938774,1.0028253149795918,4.138632975306122
30-07-2016 13:00:00,3.390292975285714,1022.2463661428571,29.29896347142857,9.206163108,11.775370801428572,2.9370341832857143,1.0034187152857144,4.131942092714286
